,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
89,fastapi,py,entropy,3.876638398699539,3.8936606896881845,4.565633952199283,4.4863564966116005,3.77563905050872,3.744406504924971,0.6277141502248919,2.0008542880467903e-24,101,689,790
90,fuel-core,rs,mccabe,1.388043862752034,1.0,1.7608695652173914,1.0,1.2568149210903874,1.0,0.18038098060008734,6.838587638601135e-24,736,2091,2827
91,fuel-core,rs,fanout,6.488503714184648,4.0,8.775815217391305,6.0,5.683405069344811,4.0,0.19296402283076539,5.056329421436978e-15,736,2091,2827
92,fuel-core,rs,chars,476.66112486735057,289.0,662.9361413043479,405.5,411.0951697752272,260.0,0.2446327947934211,4.8638233425734456e-23,736,2091,2827
93,fuel-core,rs,identifiers,28.91828793774319,19.0,38.04483695652174,27.0,25.705882352941178,18.0,0.21489159025221966,3.785695599725561e-18,736,2091,2827
94,fuel-core,rs,halstead,213.09972730681625,110.36149671375915,311.1272210083946,180.73721030309963,178.59554970549559,98.09910819000814,0.24512143139334205,3.9895563172976614e-23,736,2091,2827
95,fuel-core,rs,entropy,4.162946890498199,4.212284372270819,4.432006215724959,4.508542919076762,4.0682421256168535,4.129981707104247,0.32476399891876157,2.459056598035675e-39,736,2091,2827
96,godot,cpp,mccabe,4.019298282058206,2.0,7.097404249904568,4.0,2.527004102279387,2.0,0.5004470035415185,0.0,15718,32421,48139
97,godot,cpp,fanout,9.63335341407175,4.0,16.808054459854944,9.0,6.154992134727491,3.0,0.422276765197048,0.0,15718,32421,48139
98,godot,cpp,chars,668.7114813352998,271.0,1274.8105993128897,701.0,374.869035501681,192.0,0.5644456695521796,0.0,15718,32421,48139
99,godot,cpp,identifiers,45.77899416273707,19.0,86.23908894261356,48.0,26.16356682397212,14.0,0.5439929135015004,0.0,15718,32421,48139
100,godot,cpp,halstead,401.7029167036204,118.41407098051495,818.5319652569586,370.16632899843546,199.6203472220693,77.70923408096293,0.5306448547776959,0.0,15718,32421,48139
101,godot,cpp,entropy,4.3298243029001995,4.314737492083115,4.77968077958141,4.861730131315203,4.111729731465782,4.112145427775773,0.5665609937656988,0.0,15718,32421,48139
102,grpc,cpp,mccabe,2.7296530375338577,2.0,3.6858779912369397,3.0,2.1368575010447137,1.0,0.3337203034747313,1.9809957599924873e-148,2967,4786,7753
103,grpc,cpp,fanout,7.055591383980395,4.0,10.608358611391978,7.0,4.85311324697033,3.0,0.414286571424829,1.1610505523417838e-208,2967,4786,7753
104,grpc,cpp,chars,561.0780343092996,341.0,855.2709807886754,589.0,378.6980777267029,251.0,0.47707369165007874,6.71074497540943e-274,2967,4786,7753
105,grpc,cpp,identifiers,33.777634464078425,21.0,50.55038759689923,37.0,23.379648976180526,16.0,0.45222105368272336,1.9326287509984522e-246,2967,4786,7753
106,grpc,cpp,halstead,243.18089888516235,113.29982727264704,396.77183310799364,236.34987578777677,147.9647890148864,78.86917501586544,0.4380179466822046,3.127181282580396e-231,2967,4786,7753
107,grpc,cpp,entropy,4.3121450339420795,4.384183719779188,4.650529426741935,4.7548451018289555,4.1023693353551245,4.16077055207694,0.4914054600606673,1.7908242175359868e-290,2967,4786,7753
108,hadoop,java,mccabe,2.2603277491212856,2.0,2.949162538334513,2.0,1.825452379179388,1.0,0.3405841045206939,0.0,16956,26858,43814
109,hadoop,java,fanout,5.9226274706714745,3.0,8.23619957537155,5.0,4.46202248864398,3.0,0.3185012977744555,0.0,16956,26858,43814
110,hadoop,java,chars,400.90555530195826,243.0,578.9361877801368,387.0,288.51120708913544,189.0,0.4006825953015704,0.0,16956,26858,43814
111,hadoop,java,identifiers,23.464851417355185,15.0,33.71426043878273,23.0,16.994191674733784,11.0,0.40646255675682674,0.0,16956,26858,43814
112,hadoop,java,halstead,121.18564177387768,57.3594000115385,188.68794161226597,108.41805003750011,78.57007114092988,39.86313713864835,0.4066276518351669,0.0,16956,26858,43814
113,hadoop,java,entropy,4.140130882447921,4.147114052043201,4.400687049734612,4.4663294090695675,3.9756364907391886,3.9510487579474214,0.43848018958312396,0.0,16956,26858,43814
114,hoppscotch,ts,mccabe,2.1938718662952645,2.0,2.856,2.0,1.84017094017094,2.0,0.32269128205128206,7.965275380663728e-33,625,1170,1795
115,hoppscotch,ts,fanout,4.497493036211699,3.0,6.4736,5.0,3.441880341880342,2.0,0.3436321367521368,8.605561965283753e-34,625,1170,1795
116,hoppscotch,ts,chars,437.40389972144845,278.0,619.9984,409.0,339.86410256410255,226.5,0.3472396581196581,6.821150832433968e-34,625,1170,1795
117,hoppscotch,ts,identifiers,25.212256267409472,17.0,36.2928,26.0,19.293162393162394,14.0,0.36445675213675216,3.3961361404770408e-37,625,1170,1795
118,hoppscotch,ts,halstead,184.72979027834015,98.99122797349771,289.0194698981759,172.8771237954945,129.01949133612018,76.25592089621493,0.39583042735042734,1.571376810290276e-43,625,1170,1795
119,hoppscotch,ts,entropy,4.191615523476145,4.282340283509331,4.553462067713732,4.599890371366287,3.998321429332135,4.121426632036336,0.431262905982906,2.45037207120217e-51,625,1170,1795
120,ignite,java,mccabe,2.6821340589035554,2.0,2.7307162840268218,2.0,2.4482684908080374,2.0,-0.09962533941933144,5.527893333209984e-29,22519,4678,27197
121,ignite,java,fanout,6.4787660403721,3.0,7.228917802744349,4.0,2.867678495083369,2.0,0.4788300567848829,0.0,22519,4678,27197
122,ignite,java,chars,423.5027392727139,213.0,464.4792397530974,258.0,226.24967935014965,157.0,0.49407879234980157,0.0,22519,4678,27197
123,ignite,java,identifiers,24.115711291686583,13.0,26.717305386562458,16.0,11.592133390337752,10.0,0.5138749680783551,0.0,22519,4678,27197
124,ignite,java,halstead,136.25511980412531,55.506595772116384,151.82857140265142,72.0,61.28749335110915,48.432042660922164,0.43119556767425754,0.0,22519,4678,27197
125,ignite,java,entropy,4.156365774897449,4.237405811425518,4.218787093428408,4.2434489206890005,3.8558814499725518,4.051330698341834,0.3703781202974844,0.0,22519,4678,27197
126,imgui,cpp,mccabe,5.165497076023392,2.0,6.858812074001947,4.0,2.6193265007320643,1.0,0.5164482828919325,2.3150330423894124e-76,1027,683,1710
127,imgui,cpp,fanout,7.792397660818714,3.0,11.259006815968842,5.0,2.5797950219619326,2.0,0.497930688397171,4.1832175593910623e-69,1027,683,1710
128,imgui,cpp,chars,961.6970760233918,370.0,1403.5219084712755,689.0,297.3426061493411,168.0,0.6266314629455649,4.9156321540364585e-107,1027,683,1710
129,imgui,cpp,identifiers,58.41988304093567,25.0,84.5365141187926,44.0,19.149341142020496,12.0,0.6146817765143469,4.261650279894434e-103,1027,683,1710
130,imgui,cpp,halstead,573.6146026752531,176.56494473521508,863.8042440705088,352.2950978723465,137.26795302235732,66.60791492653966,0.6246355716304008,2.2840270203136557e-106,1027,683,1710
131,imgui,cpp,entropy,4.544001468487175,4.544047206783631,4.859484479338605,4.907874816193986,4.069622182770603,4.090234012145144,0.6471905691284086,4.8268207654287205e-114,1027,683,1710
